init_state,mean_x,mean_y,mean_z,angle,fidelity
[0.99660344+0.j        0.00696638+0.0820552j],0.01416015625,0.084228515625,0.60205078125,0.026992808381347964,0.8966207414355939
[ 0.99909615+0.j         -0.00179099+0.04246981j],0.024,0.038,0.57,0.04913804039777831,0.8863066741520939
[ 0.73717727+0.j         -0.29248374+0.60911652j],-0.45,0.26,0.058,0.5966600970699247,0.846340064572813
[0.44505978+0.j         0.75701088+0.47838929j],0.238,0.436,-0.354,0.408431355321882,0.8831170171875566
[0.87358891+0.j         0.03464551+0.48542982j],-0.198,0.44,0.276,0.4247986638500809,0.8678870451488483
[ 0.73211998+0.j         -0.08086237+0.67635908j],-0.366,0.436,-0.012,0.586385818436177,0.858564086631564
[0.76294138+0.j         0.63264339+0.13297665j],0.438,0.288,0.104,0.3696131325221059,0.8655427384583287
[ 0.98186505+0.j         -0.03178568+0.18689754j],-0.068,0.22,0.532,0.05724794223016234,0.8884668829762806
[0.95156405+0.j         0.30691298-0.01817356j],0.364,0.104,0.514,0.19839991130344764,0.9016210097564419
[ 0.64555302+0.j         -0.50796397+0.57029282j],-0.44,0.142,-0.092,0.5227927883003769,0.8391791943709781
[0.26022333+0.j         0.90016625+0.34926285j],0.226,0.248,-0.48,0.2600724376368741,0.8848588861294544
[ 0.04683003+0.j         -0.97933311-0.19675773j],-0.038,-0.03,-0.566,0.04242105961646935,0.8853123298512429
[ 9.80265092e-01+0.j         -7.67249637e-04-0.19768601j],-0.018,-0.232,0.52,0.037076885340515404,0.8858046097599278
[ 0.95589438+0.j         -0.00978663-0.29354752j],0.096,-0.368,0.414,0.230539609925463,0.8795730701946591
[0.32139063+0.j         0.94394292+0.07536466j],0.286,0.192,-0.51,0.3025947048027372,0.8909190311210392
[ 0.89937016+0.j         -0.25241944+0.35695621j],-0.382,0.174,0.314,0.4177457937257225,0.8599799038428106
[0.47933174+0.j         0.78868858+0.38498234j],0.218,0.314,-0.406,0.4580547234025896,0.8660687690523307
[ 0.55589078+0.j         -0.18603362-0.81017093j],0.206,-0.444,-0.27,0.6028614633965291,0.8545323024056137
[0.95843408+0.j         0.2472539 +0.14237144j],0.132,0.162,0.516,0.2545890135894324,0.8771441564354093
[ 0.6825808 +0.j         -0.21658354+0.69797924j],-0.418,0.252,-0.058,0.7257323341977804,0.8269412631038254
[ 0.84996328+0.j         -0.01626566-0.52659078j],0.116,-0.438,0.23,0.2589188796913827,0.8634802812799148
[0.70008756+0.j         0.06253194-0.71131369j],0.318,-0.382,-0.04,0.6086800514747851,0.8393720987790356
[ 0.77210323+0.j        -0.55057782+0.3173652j],-0.552,-0.038,0.074,0.5865735810546866,0.8558387394175843
[ 0.85196092+0.j         -0.22568419-0.47247142j],0.016,-0.446,0.274,0.42702717784154,0.859261419522183
[ 0.95598073+0.j        -0.05790286-0.2876597j],0.062,-0.33,0.464,0.22167749116673602,0.8828172586011084
[0.8638634 +0.j         0.50249547+0.03518992j],0.376,0.164,0.342,0.33236626141756953,0.8674233522473401
[ 0.82205614+0.j        -0.24754584+0.5127814j],-0.442,0.242,0.156,0.5885371632304918,0.8481615892819965
[0.3422557 +0.j        0.76313948+0.5481598j],0.08,0.24,-0.516,0.41041068836024064,0.8737722795391417
[0.91571537+0.j         0.22676945+0.33172425j],0.082,0.324,0.35,0.25844616551439825,0.8566999446692464
[0.49514036+0.j         0.45858481+0.73792682j],0.056,0.408,-0.318,0.3670432778090587,0.8618743477045375
[0.46463015+0.j         0.36549126-0.80655748j],0.404,-0.216,-0.266,0.5549008546650812,0.8515447042125293
[0.99758972+0.j         0.02171503-0.06590295j],-0.028,-0.038,0.604,0.11315284295629052,0.8949768806183079
[ 0.88075016+0.j         -0.38005827-0.28255063j],-0.188,-0.408,0.332,0.4113257353746902,0.8694844567346126
[ 0.07497268+0.j         -0.93785487+0.33883232j],0.02,0.02,-0.498,0.1815453920178743,0.8633090896551842
[0.43936976+0.j         0.79617509-0.41600413j],0.414,0.026,-0.38,0.4210371812741855,0.8698930097494704
[0.72148335+0.j         0.1581168 -0.67413711j],0.362,-0.364,0.082,0.5615080546945086,0.8485413669603304
[ 0.86880645+0.j         -0.48592178+0.09515972j],-0.47,-0.146,0.268,0.4303907732256737,0.8687020376347926
[0.02236856+0.j         0.75284528-0.65781733j],0.054,0.046,-0.574,0.12449225302801148,0.8870993729607669
[0.50646196+0.j         0.85282652-0.12721325j],0.44,0.192,-0.258,0.48952053260065165,0.8605221556831064
[0.28327238+0.j         0.94111692+0.18454186j],0.222,0.218,-0.502,0.309200583411061,0.8839103436141905
[ 0.1542862+0.j         -0.7860778-0.59856283j],-0.046,-0.108,-0.506,0.1574170790164829,0.8697745578296203
[0.99278167+0.j        0.06629793-0.0999457j],0.092,-0.114,0.61,0.02250586111059756,0.9019935514245139
[0.04671676+0.j         0.96752324+0.24842769j],0.044,0.074,-0.498,0.12376071967583756,0.8664645069931245
[0.59693046+0.j         0.31304609+0.73869897j],-0.038,0.448,-0.146,0.46350366918143127,0.8434583153597265
[0.10943566+0.j         0.52098964+0.84651854j],-0.008,0.102,-0.488,0.131619024040675,0.8643776508954887
[ 0.23134501+0.j        -0.96465554+0.1261712j],-0.142,-0.02,-0.516,0.21714519431673523,0.8726336712330762
[ 0.97539937+0.j        -0.0850669 -0.2033708j],0.016,-0.276,0.506,0.21222130630263822,0.8842128168127329
[ 0.44002615+0.j         -0.86806992+0.22985127j],-0.294,-0.088,-0.324,0.4316701347438903,0.8382517353923813
[0.66045186+0.j         0.20405474+0.72260985j],-0.078,0.498,-0.12,0.4362497092164387,0.8572132081857468
[ 0.96023866+0.j         -0.2697041 +0.07212081j],-0.254,-0.048,0.418,0.236814529875142,0.8595796692786234
[0.99892864+0.j         0.00687452+0.04576363j],-0.002,0.074,0.538,0.04836689413486516,0.8781896048565752
